artwork_id,bank_name,name,display_name,issuer_en,variant,network,tier,official_image_url,image_is_composite
ctbc-linepay-ve8710,中國信託銀行,中國信託 LINE Pay 信用卡,中國信託銀行｜中國信託 LINE Pay 信用卡（VE8710）,CTBC Bank,VE8710,VISA,Signature,https://www.ctbcbank.com/content/dam/twrbo/images/creditcard/images/N2025032800031_01/7.png,false
mega-one,兆豐銀行,Mega One 一卡通聯名卡,兆豐銀行｜Mega One 一卡通聯名卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/03_mega-one.png?h=520&iar=0&w=520,false
mega-happy,兆豐銀行,e 秒 Happy 悠遊聯名卡,兆豐銀行｜e 秒 Happy 悠遊聯名卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/20_happy.png?h=520&iar=0&w=520,false
mega-eyoung,兆豐銀行,e 秒刷悠遊/一卡通聯名卡,兆豐銀行｜e 秒刷悠遊/一卡通聯名卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/01_eyoung.png?h=520&iar=0&w=520,true
mega-world,兆豐銀行,兆豐世界卡,兆豐銀行｜兆豐世界卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/08_world-card.png?h=520&iar=0&w=520,false
mega-infinite,兆豐銀行,兆豐無限卡,兆豐銀行｜兆豐無限卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/22_infinitev2.png?h=520&iar=0&w=520,false
mega-cash-rebate,兆豐銀行,利多御璽卡,兆豐銀行｜利多御璽卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/06_cash-rebate-biz.png?h=520&iar=0&w=520,false
mega-nextbank,兆豐銀行,將來銀行聯名卡,兆豐銀行｜將來銀行聯名卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/05_nextbank.png?h=520&iar=0&w=520,false
mega-unilions,兆豐銀行,統一 7-ELEVEN 獅聯名卡,兆豐銀行｜統一 7-ELEVEN 獅聯名卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/46_unilions.png?h=520&iar=0&w=520,true
mega-dual-currency,兆豐銀行,雙幣鈦金商旅卡,兆豐銀行｜雙幣鈦金商旅卡,Mega International Commercial Bank,,,,https://www.megabank.com.tw/-/media/mega/images/bankv2/personal/credit-card/card/credit-card-detail/520x520/14_dual-currency.png?h=520&iar=0&w=520,true
fubon-momo,台北富邦銀行,momo 卡,台北富邦銀行｜momo 卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/momo2026new.gif,false
fubon-open-possible,台北富邦銀行,台灣大哥大 Open Possible 聯名卡,台北富邦銀行｜台灣大哥大 Open Possible 聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/OP_200-x-200-02.png,false
fubon-taimall,台北富邦銀行,台茂聯名卡,台北富邦銀行｜台茂聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E5%8F%B0%E8%8C%82.png,false
fubon-life,台北富邦銀行,富利生活系列卡,台北富邦銀行｜富利生活系列卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E5%AF%8C%E5%88%A9_MT.png,false
fubon-costco,台北富邦銀行,富邦 Costco 聯名卡,台北富邦銀行｜富邦 Costco 聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/C%E5%8D%A1%E5%8D%A1%E9%9D%A2.png,false
fubon-imperial,台北富邦銀行,富邦 IMPERIAL 尊御世界卡,台北富邦銀行｜富邦 IMPERIAL 尊御世界卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E5%B0%8A%E5%BE%A1%E5%8D%A1_MW.png,false
fubon-j,台北富邦銀行,富邦 J 卡,台北富邦銀行｜富邦 J 卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/J%E5%8D%A1.gif,false
fubon-diamond-insurance,台北富邦銀行,富邦鑽保卡,台北富邦銀行｜富邦鑽保卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E9%91%BD%E4%BF%9D%E5%8D%A1_VS.png,false
fubon-braves-guardians,台北富邦銀行,悍將勇士聯名卡,台北富邦銀行｜悍將勇士聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E6%82%8D%E5%8B%87%E8%81%AF%E5%90%8D%E5%8D%A1_MT.png,false
fubon-howard,台北富邦銀行,福華聯名卡,台北富邦銀行｜福華聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E7%A6%8F%E8%8F%AF%E5%8D%A1.png,false
fubon-everrich,台北富邦銀行,采盟聯名卡,台北富邦銀行｜采盟聯名卡,Taipei Fubon Bank,,,,https://www.fubon.com/banking/images/personal/credit_card/TW/%E9%87%87%E7%9B%9F%E5%8D%A1.png,false
taishin-gogoro,台新銀行,Gogoro Rewards 聯名卡,台新銀行｜Gogoro Rewards 聯名卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/export/sites/TSB/images/2018/createCard/Gogoro_c-250x190.png,false
taishin-richart,台新銀行,Richart 信用卡,台新銀行｜Richart 信用卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/export/sites/TSB/images/creditcard/R111.gif,false
taishin-excellence,台新銀行,卓富無限卡,台新銀行｜卓富無限卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/images/creditcard/cg045_639x1011_2023.png,false
taishin-dual-currency,台新銀行,台新雙幣卡,台新銀行｜台新雙幣卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/export/sites/TSB/images/2019/creditcard_intro/c-250x190-052.gif,false
taishin-cathaypacific,台新銀行,國泰航空聯名卡,台新銀行｜國泰航空聯名卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/export/sites/TSB/images/2019/creditcard_intro/158x286_20231128_blue1.png,false
taishin-pxmart,台新銀行,大全聯信用卡,台新銀行｜大全聯信用卡,Taishin International Bank,,,,https://www.taishinbank.com.tw/TSB/export/sites/TSB/images/creditcard/mgpx3.gif,false
