artwork_id,bank_name,name,issuer_en,name_en,official_source_url
ctbc-linepay-ve8710,中國信託銀行,中國信託 LINE Pay 信用卡,CTBC Bank,CTBC LINE Pay card,https://www.ctbcbank.com/content/dam/twrbo/pdf/aboutctbc/AR_Y109_en.pdf
mega-one,兆豐銀行,Mega One 一卡通聯名卡,Mega International Commercial Bank,Mega One Credit Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/legal-announcemet/010973_2022022109391540883/mega_application_8in1bilingual111.pdf?la=zh-tw
mega-happy,兆豐銀行,e 秒 Happy 悠遊聯名卡,Mega International Commercial Bank,Young Happy Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/legal-announcemet/010973_2022022109391540883/mega_application_8in1bilingual111.pdf?la=zh-tw
mega-eyoung,兆豐銀行,e 秒刷悠遊/一卡通聯名卡,Mega International Commercial Bank,Young Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/legal-announcemet/010973_2022022109391540883/mega_application_8in1bilingual111.pdf?la=zh-tw
mega-world,兆豐銀行,兆豐世界卡,Mega International Commercial Bank,World Card,https://www.megabank.com.tw/-/media/mega/files/bankv2/about/announcement/service/customer-service/download/credit-card/application-form/general-creadit-card-application-form-bilingual-version.pdf
mega-infinite,兆豐銀行,兆豐無限卡,Mega International Commercial Bank,Infinite Card,https://www.megabank.com.tw/-/media/mega/files/bankv2/about/announcement/service/customer-service/download/credit-card/application-form/general-creadit-card-application-form-bilingual-version.pdf
mega-cash-rebate,兆豐銀行,利多御璽卡,Mega International Commercial Bank,LIDO Signature Card,https://www.megabank.com.tw/-/media/mega/files/bankv2/about/announcement/service/customer-service/download/credit-card/application-form/general-creadit-card-application-form-bilingual-version.pdf
mega-nextbank,兆豐銀行,將來銀行聯名卡,Mega International Commercial Bank,Next Bank Co-branded Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/legal-announcemet/010973_2022022109391540883/mega_application_8in1bilingual111.pdf?la=zh-tw
mega-unilions,兆豐銀行,統一 7-ELEVEN 獅聯名卡,Mega International Commercial Bank,Uni-Lion Co-branded Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/legal-announcemet/010973_2022022109391540883/mega_application_8in1bilingual111.pdf?la=zh-tw
mega-dual-currency,兆豐銀行,雙幣鈦金商旅卡,Mega International Commercial Bank,Dual Currency Titanium Business Credit Card,https://www.megabank.com.tw/-/media/mega/files/bank/personal/credit-card/events/10907visa/dual-currency-two10910.pdf?la=zh-tw
fubon-momo,台北富邦銀行,momo 卡,Taipei Fubon Bank,Fubon momo Card,https://www.fubon.com/banking/event/branch/open-an-account-in-taiwan/index.html
fubon-open-possible,台北富邦銀行,台灣大哥大 Open Possible 聯名卡,Taipei Fubon Bank,Taiwan Mobile Open Possible Card (OP Card),https://www.fubon.com/banking/document/about/intro_FBB/TW/ANNUAL_REPORT_2023.pdf
fubon-taimall,台北富邦銀行,台茂聯名卡,Taipei Fubon Bank,,
fubon-life,台北富邦銀行,富利生活系列卡,Taipei Fubon Bank,,
fubon-costco,台北富邦銀行,富邦 Costco 聯名卡,Taipei Fubon Bank,Fubon Costco Co-Branded Card,https://www.fubon.com/banking/event/branch/open-an-account-in-taiwan/index.html
fubon-imperial,台北富邦銀行,富邦 IMPERIAL 尊御世界卡,Taipei Fubon Bank,Imperial Card,https://www.fubon.com/banking/document/about/intro_FBB/TW/ANNUAL_REPORT_2023.pdf
fubon-j,台北富邦銀行,富邦 J 卡,Taipei Fubon Bank,Fubon J Card,https://www.fubon.com/banking/event/branch/open-an-account-in-taiwan/index.html
fubon-diamond-insurance,台北富邦銀行,富邦鑽保卡,Taipei Fubon Bank,,
fubon-braves-guardians,台北富邦銀行,悍將勇士聯名卡,Taipei Fubon Bank,Fubon Guardians×Fubon Braves Card,https://www.fubon.com/financialholdings/en/news/news_1260210_686053.htm
fubon-howard,台北富邦銀行,福華聯名卡,Taipei Fubon Bank,,
fubon-everrich,台北富邦銀行,采盟聯名卡,Taipei Fubon Bank,,
taishin-gogoro,台新銀行,Gogoro Rewards 聯名卡,Taishin International Bank,,
taishin-richart,台新銀行,Richart 信用卡,Taishin International Bank,Taishin Richart Card,https://mkp.taishinbank.com.tw/s/2026/foreign/index.html
taishin-excellence,台新銀行,卓富無限卡,Taishin International Bank,,
taishin-dual-currency,台新銀行,台新雙幣卡,Taishin International Bank,Dual Currency Credit Card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/2018Annual-Rrport-English.pdf
taishin-cathaypacific,台新銀行,國泰航空聯名卡,Taishin International Bank,Cathay Pacific Airways cobranded card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/2018Annual-Rrport-English.pdf
taishin-pxmart,台新銀行,大全聯信用卡,Taishin International Bank,,
taishin-skmp,台新銀行,新光三越聯名卡,Taishin International Bank,,
taishin-everrich,台新銀行,昇恆昌聯名卡,Taishin International Bank,Ever Rich co-branded card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/100annualreporte.pdf
taishin-jkopay,台新銀行,街口聯名卡,Taishin International Bank,Taishin Jkos Pay credit card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/finance_downloadgallery/2019/2.pdf
taishin-fareastone-friday,台新銀行,遠傳 friDay 聯名卡,Taishin International Bank,FarEasTone friDay Joint Credit Card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/2018Annual-Rrport-English.pdf
sc-beyond,渣打銀行,渣打 Beyond 世界之極卡,Standard Chartered Bank (Taiwan),Beyond World Elite Card,https://av.sc.com/tw/content/docs/CC-English-Applicaiton.pdf
