catalog_key,url
ctbc-linepay,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/LINEPay/index.html
esun-unicard,https://www.esunbank.com/zh-tw/personal/credit-card/intro/bank-card/unicard
esun-kumamon,https://www.esunbank.com/zh-tw/personal/credit-card/intro/bank-card/kumamon_card
esun-pi-card,https://www.esunbank.com/zh-tw/personal/credit-card/intro/co-branded-card/pi-card
esun-pi-card,https://event.esunbank.com.tw/credit/pi-card/index.html
esun-ubear,https://www.esunbank.com/zh-tw/personal/credit-card/intro/bank-card/u-bear
fubon-costco,https://www.fubon.com/banking/personal/credit_card/all_card/costco/costco.htm
fubon-j,https://www.fubon.com/banking/personal/credit_card/all_card/omiyage/omiyage.htm
fubon-momo,https://www.fubon.com/banking/personal/credit_card/all_card/momo/momo.htm
taishin-richart,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/
taishin-pxmart,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg010/card001/
